                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3521,                 1.5116,                 1.4975,                0.76816,                0.67463,                0.75545,                 0.4737,                 1.2875,                0.99673,                 1.3875,              0.0033315,              0.0033315,              0.0033315
                      2,                 1.2357,                  1.109,                  1.405,                 0.7569,                0.66146,                0.74009,                0.45697,                 1.3071,                 1.0528,                 1.3911,              0.0066318,              0.0066318,              0.0066318
                      3,                 1.2836,                  1.199,                 1.4504,                0.72618,                0.66949,                0.73197,                0.45791,                 1.3026,                 1.0973,                 1.4142,              0.0098992,              0.0098992,              0.0098992
                      4,                 1.2926,                 1.2151,                 1.4667,                0.78603,                 0.6888,                0.77458,                0.49772,                 1.2411,                0.97512,                 1.3614,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2479,                  1.142,                 1.4432,                0.79492,                0.70665,                0.78984,                0.50594,                 1.2234,                0.94862,                  1.354,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.2125,                 1.0938,                 1.4237,                0.80944,                0.72157,                0.81004,                0.53161,                  1.172,                0.89557,                 1.3321,               0.009802,               0.009802,               0.009802
                      7,                 1.1853,                 1.0511,                 1.4039,                 0.8315,                0.73824,                0.82368,                0.54456,                 1.1541,                0.86223,                 1.3223,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.1728,                 1.0315,                 1.3984,                 0.8139,                0.74849,                0.82844,                0.55386,                 1.1251,                0.83551,                 1.3009,               0.009703,               0.009703,               0.009703
                      9,                 1.1552,                  1.008,                  1.387,                0.83007,                  0.752,                0.83831,                0.56304,                 1.1157,                0.81127,                 1.3018,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.1486,                0.99466,                 1.3804,                0.82628,                0.76092,                0.84029,                0.56661,                 1.1144,                0.80107,                 1.2912,               0.009604,               0.009604,               0.009604
                     11,                 1.1303,                0.96752,                 1.3682,                0.84454,                 0.7689,                0.84827,                0.57868,                 1.0744,                0.77861,                 1.2664,              0.0095545,              0.0095545,              0.0095545
                     12,                  1.124,                0.95752,                 1.3611,                0.84372,                0.77587,                0.85583,                0.58127,                 1.0827,                0.76757,                 1.2664,               0.009505,               0.009505,               0.009505
                     13,                 1.1105,                0.94063,                 1.3563,                0.85619,                0.76432,                0.86016,                0.58659,                 1.0773,                0.74297,                 1.2682,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.1095,                0.93006,                 1.3517,                0.83989,                0.77651,                0.85862,                0.59035,                 1.0696,                 0.7405,                 1.2562,               0.009406,               0.009406,               0.009406
                     15,                 1.0978,                0.91473,                 1.3407,                0.84146,                0.78808,                0.86514,                0.59568,                 1.0531,                0.72578,                   1.24,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.0949,                0.91118,                 1.3372,                0.84252,                0.78986,                0.86651,                0.59884,                 1.0504,                 0.7143,                 1.2348,               0.009307,               0.009307,               0.009307
                     17,                 1.0912,                0.90934,                 1.3365,                0.84875,                0.79312,                0.87016,                0.60327,                 1.0461,                0.70487,                 1.2285,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.0832,                0.89397,                 1.3335,                 0.8495,                0.79654,                 0.8734,                0.60463,                 1.0359,                 0.6973,                 1.2334,               0.009208,               0.009208,               0.009208
                     19,                 1.0763,                0.88788,                 1.3305,                0.85983,                0.78763,                0.87534,                0.60738,                 1.0316,                0.68938,                 1.2294,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.0757,                 0.8783,                 1.3206,                0.86151,                0.79168,                0.87416,                0.60774,                 1.0285,                0.68881,                 1.2221,               0.009109,               0.009109,               0.009109
                     21,                 1.0649,                   0.87,                 1.3205,                0.86317,                0.79342,                0.87524,                0.60996,                 1.0281,                 0.6804,                 1.2251,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.0705,                0.86528,                 1.3194,                0.86639,                0.79067,                0.87852,                0.61233,                 1.0239,                0.67357,                  1.218,                0.00901,                0.00901,                0.00901
                     23,                 1.0603,                 0.8617,                 1.3133,                0.86498,                0.79538,                0.88113,                0.61451,                 1.0222,                0.66935,                 1.2152,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.0577,                0.85904,                 1.3156,                0.85929,                0.80042,                0.88194,                0.61725,                 1.0134,                 0.6661,                 1.2133,               0.008911,               0.008911,               0.008911
                     25,                 1.0512,                0.85114,                 1.3105,                0.86248,                0.80265,                0.88262,                0.61789,                 1.0134,                0.65984,                 1.2144,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.0516,                0.84941,                 1.3083,                0.85939,                0.80517,                0.88518,                0.61948,                 1.0086,                0.65535,                  1.211,               0.008812,               0.008812,               0.008812
                     27,                 1.0522,                0.84766,                 1.3094,                 0.8642,                0.80394,                0.88544,                0.62174,                 1.0063,                0.65187,                 1.2112,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.0432,                0.83704,                 1.3011,                0.86785,                0.80535,                0.88617,                0.62284,                  1.006,                 0.6502,                 1.2085,               0.008713,               0.008713,               0.008713
                     29,                 1.0405,                0.82777,                 1.2991,                 0.8585,                0.81388,                0.88795,                0.62409,                 1.0028,                0.64389,                  1.206,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.0372,                0.82033,                 1.2979,                0.86508,                0.81238,                 0.8888,                0.62594,                 1.0028,                0.64039,                 1.2068,               0.008614,               0.008614,               0.008614
                     31,                 1.0382,                0.82055,                 1.3002,                0.86967,                0.81265,                0.88947,                0.62708,                 1.0009,                0.63897,                 1.2058,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.0268,                0.81525,                 1.2911,                 0.8685,                0.81198,                0.88996,                0.62749,                0.99978,                0.63741,                 1.2049,               0.008515,               0.008515,               0.008515
                     33,                 1.0347,                 0.8202,                 1.2966,                0.86231,                0.81571,                0.88997,                0.62752,                0.99817,                0.63593,                 1.2037,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.0227,                0.81191,                 1.2902,                0.86037,                0.81836,                 0.8909,                0.62816,                0.99714,                 0.6331,                 1.2027,               0.008416,               0.008416,               0.008416
                     35,                 1.0208,                0.80622,                 1.2864,                0.86308,                0.81793,                0.89169,                0.62919,                0.99688,                0.63142,                 1.2033,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.0215,                0.80383,                 1.2866,                0.86747,                0.81508,                0.89202,                0.62977,                0.99556,                0.62938,                  1.202,               0.008317,               0.008317,               0.008317
                     37,                 1.0225,                0.80265,                 1.2869,                0.86538,                0.81763,                0.89173,                0.63028,                0.99386,                0.62816,                    1.2,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.0178,                0.79415,                 1.2826,                0.86804,                0.81487,                0.89178,                0.63085,                0.99266,                0.62675,                 1.1992,               0.008218,               0.008218,               0.008218
